Name,Adjective,Mod ID,Versions,Category,Prim,Sec,Tert,Dur,iCost,iGain,magic,tlevel,teff,tint,textures,item,effects,improvements,reqTools
Sythian,Sythian,byg,"16, 18, 19",wood,2,1.2,5,59,1,2,90,ToolLevel.TWO,4,938126,"crude, wooden",sythian_planks,,,"hammer 0, axe 3, cut 0"
Tenanea,Tenanea,betterendforge,"16, 18, 19",wood,3.5,2,6.2,780,2,2,96,ToolLevel.THREE,11,944f86,"crude, wooden",tenanea_planks,eff enderReverb 6 0.6,,"hammer 0, axe 5, cut 0"
Towerwood,Towerwood,twilightforest,16,wood,5.5,4,7,1024,3,6,90,ToolLevel.THREE,7,9d6238,"crude, wooden",tower_wood,,,"hammer 0, axe 5, cut 0"
Twilight Oak,Twilight Oak,twilightforest,"16, 18, 19",wood,4,1.4,5.5,512,1,6,102,ToolLevel.TWO,6,442c1c,"crude, wooden",twilight_oak_planks,,,"hammer 0, axe 2, cut 0"
Umbran,Umbran,biomesoplenty,"16, 18, 19",wood,3.5,1.6,6.5,200,1,5,132,ToolLevel.TWO,6,655575,"crude, wooden",umbran_planks,,,"hammer 0, axe 3, cut 0"
Umbrella,Umbrella,betterendforge,16,wood,4,2.4,6,600,2,6,114,ToolLevel.TWO,10,04646c,"crude, wooden",umbrella_tree_planks,,,"hammer 0, axe 5, cut 0"
Willow,Willow,byg,"16, 18, 19",wood,2,1.2,7,40,1,2,108,ToolLevel.ONE,3,576832,"crude, wooden",willow_planks,,,"hammer 0, axe 1, cut 0"
Willow,Willow,environmental,"16, 18, 19",wood,2,1.2,7,40,1,2,108,ToolLevel.ONE,3,5c7444,"crude, wooden",willow_planks,,,"hammer 0, axe 1, cut 0"
Willow,Willow,biomesoplenty,"16, 18, 19",wood,2,1.2,7,40,1,2,108,ToolLevel.ONE,3,899470,"crude, wooden",willow_planks,,,"hammer 0, axe 1, cut 0"
Wisteria,Wisteria,environmental,"16, 18, 19",wood,2.8,2,5.7,80,1,4,102,ToolLevel.ONE,2,e0d4b0,"crude, wooden",wisteria_planks,,,"hammer 0, axe 1, cut 0"
Witch Hazel,Witch Hazel,byg,"16, 18, 19",wood,3.5,1.7,6,120,1,4,90,ToolLevel.ONE,2.5,276041,"crude, wooden",witch_hazel_planks,,,"hammer 0, axe 1, cut 0"
Yucca,Yucca,atmospheric,"16, 18, 19",wood,3,1.4,4,50,1,4,90,ToolLevel.ONE,2,976253,"crude, wooden",yucca_planks,,,"hammer 0, axe 1, cut 0"
Zelkova,Zelkova,byg,"16, 18, 19",wood,2,1.5,6,50,1,3,108,ToolLevel.ONE,3,8c5d3a,"crude, wooden",zelkova_planks,,,"hammer 0, axe 1, cut 0"
Embur vine,Embur vine,byg,"18, 19",fibre,5,3,3,300,1,5,96,ToolLevel.ZERO,0,c0911e,"crude, default",embur_gel_vines,,,"hammer 0, axe 0, cut 2"
Imparius vine,Imparius vine,byg,"18, 19",fibre,4,3.6,3,1450,2,9,72,ToolLevel.ZERO,0,15868d,"crude, default",imparius_vine,,,"hammer 0, axe 0, cut 4"
Shulkren Vine,Shulkren Vine,byg,"18, 19",fibre,3,1.2,3.5,650,1,6,108,ToolLevel.ZERO,0,007e3e,"crude, default",shulkren_vine,,,"hammer 0, axe 0, cut 3"
Wailing vine,Wailing vine,byg,"18, 19",fibre,5,2.5,3.3,600,1,6,96,ToolLevel.ZERO,0,534068,"crude, default",wailing_vine,,,"hammer 0, axe 0, cut 2"
Chorundum,Chorundum,stalwart_dungeons,"18, 19",gem,7,3.3,0,2021,2,8,168,ToolLevel.FIVE,10,b38ef3,"shiny, crude",chorundum,,,"hammer 5, axe 0, cut 0"
Pendorite,Pendorite,byg,"18, 19",metal,7,5,3,2500,2,6,90,ToolLevel.SIX,10,723770,"metal, default",pendorite_ingot,,,"hammer 5, axe 0, cut 0"
Shadow Steel,Shadow Steel,create,"18, 19",metal,6.2,3.5,2.1,1365,2,5,99,ToolLevel.FOUR,8,5d5164,"metal, default",shadow_steel,eff stabilizing 8 0,,"hammer 4, axe 0, cut 0"
Blazing Gold,Blazing Gold,netheragriculture,"18, 19",metal,5,4.2,1,768,2,4,132,ToolLevel.TWO,50,ee7b29,"shiny, metal, default",blazing_gold_ingot,eff fierySelf 2 0.02,"imp blazing_tool 2 0, imp blazing_blade 4 0","hammer 3, axe 0, cut 0"
Tungsten,Tungsten,stalwart_dungeons,"18, 19",metal,6,4.5,3.5,750,2,10,12,ToolLevel.FOUR,11,aadb74,"metal, default",tungsten_ingot,,,"hammer 5, axe 0, cut 0"
Drake Backplate,Drake Backplate,wyrmroost,"18, 19",scale,6,3.2,2,360,2,5,54,ToolLevel.ZERO,0,3c5d45,"crude, default",drake_backplate,,,"hammer 0, axe 0, cut 3"
Ether Stone,Ether Stone,byg,"18, 19",stone,4,4,0,1561,1,2,90,ToolLevel.TWO,6,859898,"grainy, crude, default",ether_stone,,,"hammer 5, axe 0, cut 0"
Voidstone,Voidstone,quark,"18, 19",stone,5.5,5.5,0,700,2,4,90,ToolLevel.THREE,8,121212,"grainy, crude, default",voidstone,,,"hammer 5, axe 0, cut 0"
Dead,Dead,atum,"18, 19",wood,4,1.3,4.5,180,1,3,102,ToolLevel.TWO,5,8d8460,"crude, wooden",deadwood_planks,,,"hammer 0, axe 2, cut 0"
Helix Tree,Helix Tree,betterendforge,"18, 19",wood,5,1.6,7,200,2,5,102,ToolLevel.FOUR,5,c87d20,"crude, wooden",helix_tree_planks,,,"hammer 0, axe 5, cut 0"
Mossy Glowshroom,Mossy Glowshroom,betterendforge,"18, 19",wood,3.8,1.8,6.5,59,3,1,84,ToolLevel.THREE,18,019c87,"crude, wooden",mossy_glowshroom_planks,eff unstable 15 0,,"hammer 0, axe 5, cut 0"
Umbrella Tree,Umbrella Tree,betterendforge,"18, 19",wood,4,2.4,6,600,2,6,114,ToolLevel.TWO,10,04646c,"crude, wooden",umbrella_tree_planks,,,"hammer 0, axe 5, cut 0"
Cika,Cika,byg,"18, 19",wood,2,1.5,6,50,1,3,108,ToolLevel.ONE,3,936331,"crude, wooden",cika_planks,,,"hammer 0, axe 1, cut 0"
Ether,Ether,byg,"18, 19",wood,4.5,1,5,200,1,4,102,ToolLevel.THREE,6,5f9584,"crude, wooden",ether_planks,,,"hammer 0, axe 5, cut 0"
Tower Wood,Tower Wood,twilightforest,"18, 19",wood,5.5,4,7,1024,3,6,90,ToolLevel.THREE,7,9d6238,"crude, wooden",towerwood,,,"hammer 0, axe 5, cut 0"
Zinc,Zinc,create,19,metal,5,3.8,1,200,2,3,102,ToolLevel.THREE,6,b9e9c1,"metal, default",zinc_ingot,,,"hammer 2, axe 0, cut 0"
Asurine,Asurine,create,19,stone,3.5,3,0,131,1,4,90,ToolLevel.TWO,4,4c5c7c,"grainy, crude, default",asurine,,,"hammer 1, axe 0, cut 0"
Crimsite,Crimsite,create,19,stone,3.5,3,0,131,1,4,90,ToolLevel.TWO,4,54242c,"grainy, crude, default",crimsite,,,"hammer 1, axe 0, cut 0"
Ochrum,Ochrum,create,19,stone,3.5,2.5,0,90,1,4,90,ToolLevel.TWO,4,a68858,"grainy, crude, default",ochrum,,,"hammer 1, axe 0, cut 0"
Scorchia,Scorchia,create,19,stone,4,3,0,180,1,4,90,ToolLevel.TWO,4.5,2d2f35,"grainy, crude, default",scorchia,,,"hammer 1, axe 0, cut 0"
Veridium,Veridium,create,19,stone,3.5,3,0,131,1,4,90,ToolLevel.TWO,4,1e5a44,"grainy, crude, default",veridium,,,"hammer 1, axe 0, cut 0"
Shale,Shale,quark,19,stone,4,3,0,110,1,2,78,ToolLevel.TWO,4,5a7177,"grainy, crude, default",shale,,,"hammer 1, axe 0, cut 0"
White Mangrove,White Mangrove,byg,19,wood,3.5,1.7,6,120,1,4,90,ToolLevel.ONE,2.5,c7c0bb,"crude, wooden",white_mangrove_planks,,,"hammer 0, axe 1, cut 0"
Ancient,Ancient,quark,19,wood,4.5,1.6,5.5,250,2,6,84,ToolLevel.ONE,4,e3ede9,"crude, wooden",ancient_planks,,,"hammer 0, axe 2, cut 0"
Azalea,Azalea,quark,19,wood,3,1.5,6,59,1,5,102,ToolLevel.ONE,2,bfc664,"crude, wooden",azalea_planks,,,"hammer 0, axe 1, cut 0"
Blossom,Blossom,quark,19,wood,3,1.5,6,131,1,5,108,ToolLevel.ONE,2,5c3420,"crude, wooden",blossom_planks,,,"hammer 0, axe 1, cut 0"
