Name,Adjective,Mod ID,Versions,Category,Prim,Sec,Tert,Dur,iCost,iGain,magic,tlevel,teff,tint,textures,item,effects,improvements,reqTools
Tyrian Steel,Tyrian Steel,silentgear,"16, 18, 19, 20",metal,11,5,3.7,3652,3,7,96,7,18,b01080,"heavy, metal, default",tyrian_steel_ingot,"eff unbreaking 2 0, eff armorPenetration 20 0",,hammer 7
Titanite,Titanite,voidscape,"16, 18, 19, 20",gem,10,4.6,0,3544,2,2,126,9,10.5,00c2a5,"shiny, metal, default",titanite_shard,,,hammer 7
Endium,Endium,organics,"16, 18, 19, 20",gem,11,2.5,0,3200,3,2,12,10,16,c35ad1,"shiny, crude",endium_gem,eff enderReverb 1 0.05,,hammer 7
Venomite,Venomite,organics,"16, 18, 19, 20",metal,9,3.4,3,3000,2,7,12,10,16,0d8400,"metal, default",venomite_ingot,,,hammer 7
Amethyst,Amethyst,oresabovediamond,"16, 18, 19, 20",gem,7,2.9,0,2625,2,2,210,6,12,c25fdf,"crude, default",amethyst,,imp arrested 0 0,hammer 5
Voidic Crystal,Voidic Crystal,voidscape,"16, 18, 19, 20",gem,8,3.4,0,2538,1,2,102,7,9.5,b03bd5,"shiny, crude",voidic_crystal,,imp arrested 0 0,hammer 6
Warden,Warden,deeperdarker,"19, 20",gem,8,3.4,0,2519,2,6,108,7,10,67076,"crude, default",reinforced_echo_shard,eff enderReverb 3 0.2,,hammer 6
Kuko,Kuko,organics,"16, 18, 19, 20",gem,7.5,2.9,0,2468,2,2,12,8,12,f03eff,"shiny, crude",kuko_gem,,,hammer 7
Tungsten,Tungsten,ms,"16; 18, 19, 20",metal,12.2,5.8,3.5,2467,3,5,120,5,10.2,98b4a3,"heavy, metal","gem/tungsteningot, gem/tungsten_ingot",eff stabilizing 20 0,,hammer 7
Crimson Steel,Crimson Steel,silentgear,"16, 18, 19, 20",metal,9,4.2,3.5,2400,2,7,114,6,15,dc143c,"metal, default",crimson_steel_ingot,,imp workable 1 0,hammer 6
Black Diamond,Black Diamond,ms,"16; 18, 19, 20",gem,8.2,2.9,0,2143,3,2,72,5,8.2,562980,"shiny, crude","gem/blackdiamond, gem/black_diamond",,,hammer 6
White Diamond,White Diamond,silentgems,"16, 18, 19, 20",gem,8,2.9,0,2048,2,2,84,6,12,f6f1f5,"shiny, crude",white_diamond,eff unbreaking 1 0,,hammer 4
Iridite,Iridite,organics,"16, 18, 19, 20",gem,7,2.6,0,2045,2,2,12,8,14,e5ad06,"shiny, crude",iridite_gem,,,hammer 7
Ostrum,Ostrum,ad_astra,"18, 19, 20",metal,7,5.5,3.2,2031,2,6,54,5,9,925e64,"heavy, metal, default",ostrum_ingot,eff stun 10 2,,hammer 5
Amethyst Steel,Amethyst Steel,epicsamurai,"18, 19, 20",metal,8,3.5,2,2031,2,6,90,5,12,d4b5e9,"metal, default",amethyst_ingot,eff criticalStrike 20 2,,hammer 4
Quartz Steel,Quartz Steel,epicsamurai,"18, 19, 20",metal,8,3.5,2,2031,2,6,90,6,9,d9cfc3,"metal, default",quartz_ingot,eff intuit 1 0,,hammer 4
Thunder,Thunder,voidscape,"16, 18, 19, 20",wood,5.3,1.7,8,2031,2,9,90,4,6,51418f,"crude, wooden",thunder_planks,,,axe 7
Echo Wood,Echoing,deeperdarker,"19, 20",wood,5,1.6,5,2031,2,8,120,3,5,b0ba99,"crude, wooden",echo_planks,eff enderReverb 2 0.2,,axe 7
Sculkium,Sculkium,l2complements,"19, 20",metal,8,4,5,2000,2,6,90,6,8,034150,"shiny, metal, default",sculkium_ingot,eff backstab 3 0,,hammer 6
Linium,Linium,ms,"16; 18, 19, 20",metal,6.5,4.2,3,1967,2,7,72,5,10,e2e2e2,"shiny, metal, default","gem/liniumingot, gem/linium_ingot",,,hammer 5
Topaz,Topaz,ms,"16, 18, 19, 20",gem,9.3,2.9,0,1884,3,2,90,5,8.7,ffd350,"shiny, crude",gem/topaz,,imp arrested 0 0,hammer 6
Trio,Trio,ms,"16, 18, 19, 20",gem,5.9,2.9,0,1800,2,2,48,4,10,62ff62,"shiny, crude",gem/trio,,,hammer 6
Black Diamond,Black Diamond,silentgems,"16, 18, 19, 20",gem,7,2.9,0,1792,2,2,72,6,9,5f524c,"shiny, crude",black_diamond,eff unbreaking 1 0,,hammer 4
Diopside,Diopside,blue_skies,"16, 18, 19, 20",gem,8,4.3,0,1661,3,2,84,5,6,00cd15,"shiny, crude",diopside_gem,,,hammer 5
Void Shale,Void Shale,enlightened_end,"16, 18, 19, 20",stone,7.2,8,0,1561,3,2,102,3,7,2d3e49,"grainy, crude, default",void_shale,,,hammer 5
Sculk Stone,Sculk Stone,deeperdarker,"19, 20",stone,7.4,7.8,0,1561,3,2,72,3,5,0a242d,"crude, default",sculk_stone,"eff crushing 2 0, eff enderReverb 6 0.4",,hammer 5
Palerock,Palerock,enlightened_end,"16, 18, 19, 20",stone,4.3,5.5,0,1561,2,2,96,4,8,919f8c,"grainy, crude, default",palerock,,,hammer 5
Desh,Desh,ad_astra,"18, 19, 20",metal,6,4.6,3.5,1561,2,5,60,5,8,d68d4d,"heavy, metal, default",desh_ingot,eff stun 5 1,,hammer 4
Glacio Stone,Glacio Stone,ad_astra,"18, 19, 20",stone,4,4.5,0,1561,2,2,96,3,9,9185b6,"grainy, crude, default",glacio_cobblestone,,,hammer 5
Samurai Steel,Samurai Steel,epicsamurai,"18, 19, 20",metal,8,3.8,3,1561,2,5,72,5,12,8c8e98,"metal, default",steel_ingot,,,hammer 4
Pyridium,Pyridium,ms,"16; 18, 19, 20",metal,6,3.8,3,1561,2,7,60,5,8,cc8303,"metal, default","gem/pyridiumingot, gem/pyridium_ingot",,,hammer 4
Adamantite,Adamantine,enlightened_end,"16, 18, 19, 20",metal,8,3.6,3,1561,2,6,90,7,14,4c7fff,"heavy, metal, default",adamantite_ingot,,,hammer 5
Thunder Vine,Thunder Vine,voidscape,"16, 18, 19, 20",fibre,4,3.4,3,1561,2,9,66,0,0,61167b,"crude, default",thunder_vines,,,cut 6
Reaching Vine,Reaching Vine,endlessbiomes,"18, 19, 20",fibre,4,3.4,3,1561,2,8,60,0,0,6e487f,"crude, default",reaching_vines,,,cut 5
Charoite,Charoite,blue_skies,"16, 18, 19, 20",gem,6,2.6,0,1561,2,2,60,5,8,9d71c3,"shiny, crude",charoite,,imp arrested 0 0,hammer 3
Pream,Pream,phantasm,"16, 18, 19, 20",wood,5.5,1.9,5,1561,2,8,90,4,5,dbb254,"crude, wooden",pream_planks,,,axe 6
Primordial Wood,Primordial,eldritch_end,20,wood,5.2,1.6,8.5,1561,1,7,96,2,4,705f64,"crude, wooden",primordial_planks,,,axe 7
Penumbra Wood,Penumbral,endlessbiomes,"18, 19, 20",wood,5,1.4,5,1561,2,8,120,4,5,452f8f,"crude, wooden",penumbra_planks,,,axe 7
Cerulean,Cerulean,enlightened_end,"16, 18, 19, 20",wood,5,1.4,5,1561,2,9,90,3,4,5c97b8,"crude, wooden",cerulean_planks,,,axe 6
Turquoise,Turquoise,silentgems,"16, 18, 19, 20",gem,6,2.6,0,1536,2,2,90,5,8,3df4bd,"shiny, crude",turquoise,,,hammer 3
Poseidite,Poseidite,l2complements,"19, 20",metal,6,3.5,3,1500,2,6,84,5,8,71b7c4,"crude, default",poseidite_ingot,,,hammer 4
Titanium,Titanium,ms,"16; 18, 19, 20",metal,6.1,2.9,3.5,1462,2,7,54,4,7.45,777a8f,"shiny, metal, default","gem/titaniumingot, gem/titanium_ingot",,,hammer 4
Mercury Stone,Mercury Stone,ad_astra,"18, 19, 20",stone,4.5,4.4,0,1280,2,4,90,5,8,55313f,"grainy, crude, default",mercury_cobblestone,,,hammer 4
Kyanite,Kyanite,silentgems,"16, 18, 19, 20",gem,7,3.2,0,1280,2,2,102,6,12,17a9dd,"shiny, crude",kyanite,,,hammer 4
Cerulean Vines,Cerulean Vines,enlightened_end,"16, 18, 19, 20",fibre,4,3.2,3,1280,2,8,72,0,0,3c8892,"crude, default",cerulean_vine,,,cut 5
Penumbral Vine,Penumbral Vine,endlessbiomes,"18, 19, 20",fibre,4,3,3,1280,2,8,126,0,0,38257d,"crude, default",penumbral_vines,eff stabilizing 10 0,,cut 5
Carnelian,Carnelian,silentgems,"16, 18, 19, 20",gem,6,2.9,0,1280,1,2,60,4,7,e6351f,"shiny, crude",carnelian,,,hammer 3
Archaic Vine,Archaic Vine,alexscaves,20,fibre,5,2.8,4,1280,1,6,102,0,0,6c9f20,"crude, default",archaic_vine,,,cut 4
Azure Electrum,Azure Electrum,silentgear,"16, 18, 19, 20",metal,10,2.2,2,1259,3,5,222,7,29,4575e3,"metal, default",azure_electrum_ingot,eff stabilizing 15 0,imp workable 1 0,hammer 7
Scarlet Emerald,Scarlet Emerald,ms,"16; 18, 19, 20",gem,8.5,2.9,0,1254,2,2,60,5,7.26,a00025,"shiny, crude","gem/scarletemerald, gem/scarlet_emerald",,imp arrested 0 0,hammer 5
Obsidian,Obsidian,ms,"16; 18, 19, 20",stone,7,5.8,0,1250,3,1,30,5,9,271e3d,"grainy, crude, default","gem/obsidianingot, gem/obsidian_ingot",,,hammer 6
Hellfire,Hellfire,ms,"16; 18, 19, 20",gem,3.1,2.9,0,1136,2,2,66,5,8,5203cb,"shiny, crude","gem/hellfire, gem/hellfire_ingot","eff unstable 30 0, eff fierySelf 2 0.02",,hammer 3
Uranium,Uranium,ms,"16; 18, 19, 20",metal,9.3,4.8,3,1132,2,6,66,5,5.45,2de102,"heavy, metal","gem/uraniumingot, gem/uranium_ingot","eff unstable 40 0, eff fierySelf 3 0.04",,hammer 6
Platinum,Platinum,ms,"16; 18, 19, 20",metal,11.5,4.4,2.5,1125,3,6,48,4,11.05,c0c0c0,"shiny, metal, default","gem/platinumingot, gem/platinum_ingot",,,hammer 6
Spire Stone,Spire Stone,eldritch_end,20,stone,5,5.4,0,1024,2,2,132,5,12,6c5950,"grainy, crude, default",spire_stone,"eff stabilizing 15 0, eff haunted 2 0.005",,hammer 5
Gloomslate,Gloomslate,deeperdarker,"19, 20",stone,4.5,4.5,0,1024,1,4,90,4,7,2a2020,"crude, default",gloomslate,,,hammer 4
Venus Stone,Venus Stone,ad_astra,"18, 19, 20",stone,3.8,3.4,0,1024,2,4,114,4,5,b88143,"grainy, crude, default",venus_cobblestone,,,hammer 4
Ruby,Ruby,silentgems,"16, 18, 19, 20",gem,5,2.9,0,1024,1,2,72,4,6,aa0004,"shiny, crude",ruby,,,hammer 2
Heliodor,Heliodor,silentgems,"16, 18, 19, 20",gem,5,2.9,0,1024,2,2,60,5,14,ddcf17,"shiny, crude",heliodor,,,hammer 3
Rose Quartz,Rose Quartz,silentgems,"16, 18, 19, 20",gem,9,2.8,0,1024,2,2,72,6,14,ff6bbd,"shiny, crude",rose_quartz,eff criticalStrike 10 2,,hammer 4
Alexandrite,Alexandrite,silentgems,"16, 18, 19, 20",gem,6,2.7,0,1024,2,2,90,5,9,9e17dd,"shiny, crude",alexandrite,,,hammer 3
Ammolite,Ammolite,silentgems,"16, 18, 19, 20",gem,5,2.5,0,1024,2,2,72,5,8,b834f9,"shiny, crude",ammolite,,,hammer 3
Glacian,Glacian,ad_astra,"18, 19, 20",wood,5.5,2.4,4.6,1024,2,8,78,3,5,b6859e,"crude, wooden",glacian_planks,,,axe 6
Twisted Wood,Twisted,endlessbiomes,"18, 19, 20",wood,4,2.2,8.8,1024,2,4,102,3,2,2d7859,"crude, wooden",twisted_planks,,,axe 7
Indigo,Indigo,enlightened_end,"16, 18, 19, 20",wood,4,2.2,8.8,1024,2,4,102,3,2,984fa9,"crude, wooden",indigo_planks,,,axe 6
Totemic Gold,Totemic Gold,l2complements,"19, 20",metal,6,4.6,1,1000,2,5,132,4,12,00aa2c,"shiny, metal, default",totemic_gold_ingot,eff stabilizing 20 0,,hammer 3
Wither Rod,Wither,ms,"16; 18, 19, 20",rod,6.5,4,1,958,2,5,182,0,0,2c2c2c,"crude, default","???, wither_rod",eff unstable 10 0,,hammer 3
Tanzanite,Tanzanite,ms,"16, 18, 19, 20",gem,10,2.9,0,850,3,2,60,5,6,9064ee,"shiny, crude",gem/tanzanite,,,hammer 6
Mars Stone,Mars Stone,ad_astra,"18, 19, 20",stone,4.3,3.7,0,768,1,4,90,4,7,c98555,"grainy, crude, default",mars_cobblestone,,,hammer 4
Citrine,Citrine,silentgems,"16, 18, 19, 20",gem,6,2.9,0,768,1,2,60,4,10,c48f17,"shiny, crude",citrine,,,hammer 2
Sculk Vine,Sculk Vine,deeperdarker,"19, 20",fibre,3,2.8,3,768,2,9,54,0,0,042c34,"crude, default",sculk_vines,"eff enderReverb -6 0.4, eff stabilizing 10 0",,cut 6
Iolite,Iolite,silentgems,"16, 18, 19, 20",gem,6,2.7,0,768,1,2,60,4,7,4f1edb,"shiny, crude",iolite,,,hammer 2
Thornwood,Thorned,alexscaves,20,wood,4.7,1.8,4.8,768,1,7,108,3,5,332e26,"crude, wooden",thornwood_planks,,,axe 6
Steel,Steel,ad_astra,"18, 19, 20",metal,6,3.8,3,650,2,5,72,4,8,747175,"heavy, metal, default",steel_ingot,,,hammer 3
Citrine,Citrine,ms,"16, 18, 19, 20",gem,6.2,2.9,0,642,2,2,132,4,6.2,cda21b,"shiny, crude",gem/citrine,eff stabilizing 15 0,,hammer 4
Cobalt Obsidian,Cobalt Obsidian,regions_unexplored,"18, 19, 20",stone,6.5,5.7,0,640,3,1,114,5,10,0e1459,"grainy, crude, default",cobalt_obsidian,,,hammer 5
Mithril,Mithril,ms,"16; 18, 19, 20",metal,5,2.6,3,620,2,6,120,4,7.4,c7cadb,"shiny, metal, default","gem/mithrilingot, gem/mithril_ingot",eff stabilizing 20 0,,hammer 2
Chromite,Chromite,ms,"16; 18, 19, 20",metal,5.2,4.3,3,550,2,5,66,4,6.4,ff4040,"shiny, metal, default","gem/chromiteingot, gem/chromite_ingot",,,hammer 3
White Opal,White Opal,ms,"16; 18, 19, 20",gem,6.34,2.9,0,549,2,2,90,4,6.4,d3edfe,"shiny, crude","gem/whiteopal, gem/white_opal",,,hammer 5
Galena,Galena,alexscaves,20,stone,4.7,5.5,0,512,2,4,90,3,5,443c4c,"heavy, grainy, crude, default",galena,,imp arrested 0 0,hammer 3
Radrock,Radioactive,alexscaves,20,stone,4.5,5,0,512,3,1,108,4,9,2f3c22,"grainy, crude, default",radrock,eff fierySelf 3 0.06,,hammer 3
Abyssmarine,Abyssmarine,alexscaves,20,stone,4.5,4.5,0,512,1,3,102,3,5,1d2431,"grainy, crude, default",abyssmarine,eff stabilizing 10 0,,hammer 3
Cinderstone,Cinderstone,blue_skies,"16, 18, 19, 20",stone,4.6,4.3,0,512,1,4,90,4,6.5,3d2b29,"grainy, crude, default",cinderstone,eff fierySelf 1 0.05,,hammer 2
Moldavite,Moldavite,silentgems,"16, 18, 19, 20",gem,7,3.4,0,512,2,2,60,4,6,6f9a1e,"shiny, crude",moldavite,,,hammer 3
Peridot,Peridot,silentgems,"16, 18, 19, 20",gem,6,2.9,0,512,1,2,72,4,6,4ef341,"shiny, crude",peridot,,,hammer 2
Topaz,Topaz,silentgems,"16, 18, 19, 20",gem,5,2.9,0,512,1,2,72,4,8,dd7d17,"shiny, crude",topaz,,,hammer 2
Sapphire,Sapphire,silentgems,"16, 18, 19, 20",gem,5,2.9,0,512,1,2,72,4,6,1849db,"shiny, crude",sapphire,,,hammer 2
Walnut,Walnut,ecologics,,wood,4,2.6,3,512,2,5,84,3,5,8b573c,"crude, wooden",walnut_planks,,,axe 2
Heavy Bone,Heavy Bone,alexscaves,20,bone,5.5,2.4,4.3,512,2,6,120,3,5,dddac3,"bone, crude",heavy_bone,,,hammer 3
Maple,Maple,ms,16,wood,4,2,7,512,2,5,96,1,4,b6853d,"crude, wooden",mapleplank,,,axe 4
Maple,Maple,ms,,wood,4,2,7,512,2,5,96,1,4,b6853d,"crude, wooden",maple_planks,,,axe 4
Maple,Maple,nature_arise,,wood,4,2,7,512,2,5,96,1,4,653903,"crude, wooden",maple_planks,,,axe 4
Maple,Maple,regions_unexplored,,wood,4,2,7,512,2,5,96,1,4,b08e44,"crude, wooden",maple_planks,,,axe 4
Hellwood,Hellwood,ms,16,wood,4.5,1.7,5.5,512,2,6,84,3,4,3d1937,"crude, wooden",plank_hellwood,,,axe 4
Hellwood,Hellwood,ms,"18, 19, 20",wood,4.5,1.7,5.5,512,2,6,84,3,4,3d1937,"crude, wooden",hellwood_planks,,,axe 4
Brimwood,Brimwood,regions_unexplored,"19, 20",wood,4.5,1.7,5.5,512,2,6,84,3,4,3d2b20,"crude, wooden",brimwood_planks,,,axe 4
Strophar,Strophar,ad_astra,"18, 19, 20",wood,3.5,1.6,6.5,512,1,6,102,3,4,968c7d,"crude, wooden",strophar_planks,,,axe 4
Blackwood,Blackwood,regions_unexplored,"18, 19, 20",wood,3.7,1.5,6,512,1,5,108,1,3,130f0c,"crude, wooden",blackwood_planks,,,axe 4
Sculkwood,Sculk,regions_unexplored,18,wood,2.8,1.2,7.3,512,1,5,102,3,4,083e4a,"crude, wooden",sculkwood_planks,eff enderReverb 4 0.2,,axe 4
Rimestone,Rimestone,blue_skies,"16, 18, 19, 20",stone,4.5,4.5,0,500,1,4,90,4,5,88abdc,"grainy, crude, default",rimestone,,,hammer 3
Moon Stone,Moon Stone,ad_astra,"18, 19, 20",stone,4.5,3.2,0,500,1,4,102,4,5,4a5253,"grainy, crude, default",moon_cobblestone,,,hammer 3
Cobalt,Cobalt,ms,"16; 18, 19, 20",metal,5.45,3.8,3,481,2,5,60,4,7,2266a5,"metal, default","gem/cobaltingot, gem/cobalt_ingot",,,hammer 3
Jade,Jade,ms,"16, 18, 19, 20",gem,2.8,2.9,0,467,2,2,60,4,6.1,38851d,"shiny, crude",gem/jade,,,hammer 3
Sapphire,Sapphire,ms,"16, 18, 19, 20",gem,5.45,2.9,0,450,2,2,66,4,7.4,8c79ff,"shiny, crude",gem/sapphire,,imp arrested 0 0,hammer 3
Glistering Ivy,Glistering,regions_unexplored,"18, 19, 20",fibre,5,3.2,3,448,1,5,96,0,0,dd2cbd,"crude, default",glistering_ivy,,,cut 2
Tigerwood,Tigerwood,ms,"16; 18, 19, 20",wood,3,1.7,6,448,1,5,90,1,2,c69b5b,"crude, wooden","tigerwoodplank, tigerwood_planks",,,axe 3
Sinew,Sinew,silentgear,"16, 18, 19, 20",fibre,3,1.3,3.5,448,1,5,60,0,0,bf958e,"crude, default",sinew_fiber,,,cut 3
Fine Silk,Silken,silentgear,"16, 18, 19, 20",fibre,3,1,3,448,1,5,90,0,0,faf2ff,"crude, default",fine_silk,,,cut 3
Crimson Iron,Crimson Iron,silentgear,"16, 18, 19, 20",metal,6,3.8,3,420,2,4,84,5,10,f3476f,"shiny, metal, default",crimson_iron_ingot,,imp workable 1 0,hammer 4
Opal,Opal,ms,"16, 18, 19, 20",gem,5.34,2.9,0,419,2,2,156,4,6.4,f7d1f8,"shiny, crude",gem/opal,eff stabilizing 15 0,,hammer 4
Tough Hide,Tough,alexscaves,20,skin,4.5,3,1,400,1,5,90,0,0,993811,"crude, default",tough_hide,,,cut 3
Bound Leather,Bound Leather,ms,"18, 19, 20",skin,5,3,1,400,1,5,90,0,0,c65c35,"crude, default",materials/bound_leather,,,cut 3
Ruby,Ruby,ms,"16, 18, 19, 20",gem,5.5,2.9,0,400,2,2,66,4,7.6,f90606,"shiny, crude",gem/ruby,,,hammer 4
Sky Stone,Sky Stone,ad_astra,"18, 19, 20",stone,4.7,3,0,384,1,3,102,5,10,5a3d3d,"grainy, crude, default",sky_stone,,,hammer 3
Cobalt,Cobalt,regions_unexplored,"19, 20",wood,4,2.6,5.5,384,2,5,132,3,4,0f1f4f,"crude, wooden",cobalt_planks,eff stabilizing 10 0,,axe 4
Azalea,Azalea,ecologics,"18, 19, 20",wood,3,1.7,6.6,384,1,5,132,1,2,d58a7b,"crude, wooden",azalea_planks,,,axe 2
Aquamarine,Aquamarine,ms,"16, 18, 19, 20",gem,6.45,2.9,0,375,2,2,60,4,7.1,55f4ff,"shiny, crude",gem/aquamarine,,,hammer 5
Blaze,Blaze,ms,"16; 18, 19, 20",metal,5.1,3.2,3,352,2,5,54,4,5.5,fff32d,"shiny, metal, default","gem/blazeingot, gem/blaze_ingot",eff fierySelf 2 0.06,,hammer 3
Demonite,Demonite,ms,"16; 18, 19, 20",metal,6,3.8,2.6,350,2,5,60,4,5,5203cb,"shiny, crude","gem/demoniteingot, gem/demonite_ingot",,,hammer 4
Steel,Steel,ms,"16; 18, 19, 20",metal,5.6,3.8,3,349,2,5,78,4,6.24,484848,"metal, default","gem/steelingot, gem/steel_ingot",,,hammer 3
Amethyst,Amethyst,ms,"16; 18, 19, 20",gem,3.95,2.9,0,331,2,2,72,4,7.3,8d6acc,"shiny, crude","gem/amethyst, gem/refined_amethyst_ingot",,,hammer 3
Aluminium,Aluminium,nature_arise,20,metal,5,3.2,3,324,1,4,72,4,6,9cc2c5,"shiny, metal, default",aluminium_ingot,,,hammer 1
Starlit Vine,Starlit Vine,blue_skies,"16, 18, 19, 21",fibre,5,1.6,3,320,1,4,108,0,0,7f6afc,"crude, default",starlit_vine,eff stabilizing 15 0,,cut 2
Brumble Vine,Brumble Vine,blue_skies,"16, 18, 19, 25",fibre,4,1.5,3,320,1,5,96,0,0,b5553c,"crude, default",brumble_vine,,,cut 2
Dusk Vine,Dusk Vine,blue_skies,"16, 18, 19, 24",fibre,4,1.5,3,320,1,5,90,0,0,c98ece,"crude, default",dusk_vine,,,cut 2
Void Crystal,Crystalline,phantasm,"16, 18, 19, 20",gem,5,2.9,0,312,2,2,102,4,8,efd3f1,"shiny, crude, default",void_crystal_block,,imp arrested 0 0,hammer 3
Onyx,Onyx,ms,"16, 18, 19, 20",gem,5.24,2.9,0,311,2,2,66,4,5.75,212121,"shiny, crude",gem/onyx,,,hammer 3
Bronze,Bronze,silentgear,"16, 18, 19, 20",metal,5.5,3.8,3,300,1,5,72,4,6,d6903b,"metal, default",bronze_ingot,,,hammer 2
Tanned Leather,Tanned Leather,ms,"18, 19, 20",skin,5,2.5,1,300,1,5,90,0,0,963c30,"crude, default",materials/tanned_leather,,,cut 3
Aquite,Aquite,blue_skies,"16, 18, 19, 20",gem,5,2.9,0,270,2,2,192,4,6,62bee3,"shiny, crude",aquite_gem,eff unstable 25 0,,hammer 3
Neridium,Neridium,ms,"16; 18, 19, 20",metal,5,4.1,3,250,2,3,84,4,6,430070,"heavy, metal","gem/neridiumingot, gem/neridium_ingot",,,hammer 2
Taratite,Taratite,blue_skies,"16, 18, 19, 20",stone,4.2,4,0,250,2,5,90,3,4.5,97bdbd,"grainy, crude, default",taratite,,,hammer 2
Horizonite,Horizonite,blue_skies,"16, 18, 19, 20",metal,5,3.8,3,250,2,5,60,5,8,ff8533,"shiny, metal",horizonite_ingot,,,hammer 3
Deadwood,Deadwood,regions_unexplored,"18, 19, 20",wood,4,1.8,4.5,250,1,6,102,3,5,6b5e59,"crude, wooden",dead_planks,,,axe 3
Mauve,Mauve,regions_unexplored,"18, 19, 20",wood,3,1.5,6,250,2,5,132,1,3,7c6388,"crude, wooden",mauve_planks,,,axe 3
Hoaky,Hoaky,organics,"16, 18, 19, 20",wood,3,1.5,6,250,2,4,120,1,3,b9955f,"crude, wooden",hoaky_planks,eff stabilizing 15 0,,axe 2
Bronze,Bronze,ms,"16; 18, 19, 20",metal,4.8,3.8,3,237,1,5,60,4,5.4,a26622,"metal, default","gem/bronzeingot, gem/bronze_ingot",,imp workable 1 0,hammer 1
Olivine,Olivine,ms,"16, 18, 19, 20",gem,4.6,2.9,0,228,2,2,60,3,5,5aff4f,"shiny, crude",gem/olivine,,,hammer 3
Pyrope,Pyrope,blue_skies,"16, 18, 19, 20",gem,4.5,3.2,0,200,2,2,60,3,11,d62438,"shiny, crude",pyrope_gem,,,hammer 2
Polar Bear Hide,Polar Bear Hide,ms,"16, 18, 19, 20",skin,6,3,1,200,1,5,120,0,0,f2f2f2,"crude, default",materials/polar_bear_hide,,,cut 4
Brown Bear Hide,Brown Bear Hide,ms,"16, 18, 19, 20",skin,6,3,1,200,1,5,105,0,0,493e27,"crude, default",materials/brown_bear_hide,,,cut 4
Lunar Vine,Lunar Vine,blue_skies,"16, 18, 19, 23",fibre,5,1.6,4,200,1,5,102,0,0,a97cd8,"crude, default",lunar_vine,eff stabilizing 15 0,,cut 2
Frostbright Vine,Frostbright Vine,blue_skies,"16, 18, 19, 22",fibre,3,1.4,3,200,1,4,84,0,0,acb9bf,"crude, default",frostbright_vine,,,cut 1
Bluebright Vine,Bluebright Vine,blue_skies,"16, 18, 19, 20",fibre,3,1.4,3,200,1,4,72,0,0,4a8cb3,"crude, default",bluebright_vine,,,cut 1
Flax,Flaxen,silentgear,"16, 18, 19, 20",fibre,5,0.9,3,200,1,3,90,0,0,c4b9af,"crude, default",flax_string,,,cut 1
Turquoise,Turquoise,ms,"16; 18, 19, 20",metal,7,3.8,2.3,198,2,4,60,4,6,48e6bb,"shiny, metal, default","gem/turquoiseingot, gem/turquoise_ingot",,,hammer 4
Azure Silver,Azure Silver,silentgear,"16, 18, 19, 20",metal,8,2.5,2,197,3,4,174,5,19,d09ef6,"shiny, metal, default",azure_silver_ingot,eff stabilizing 10 0,imp workable 1 0,hammer 6
Quartz,Quartz,ms,"16; 18, 19, 20",stone,4.78,3.2,0,196,1,1,48,4,5,d4caba,"grainy, crude, default","gem/quartzingot, gem/refined_quartz_ingot",,,hammer 3
Marble,Marble,ms,"16; 18, 19, 20",stone,3,3.5,0,192,1,4,90,3,4,f1f1f2,"crude, default","marblecobble, stone/marble",,,hammer 2
Umber,Umber,blue_skies,"16, 18, 19, 20",stone,4,3,0,192,1,4,90,3,4.5,3e2c2a,"grainy, crude, default",umber,,,hammer 1
Baobab,Baobab,regions_unexplored,"18, 19, 20",wood,3,2.2,5.5,192,2,5,78,1,4,d5ac91,"crude, wooden",baobab_planks,,,axe 3
Flood Basalt,Flood Basalt,alexscaves,20,stone,4,3.5,0,180,1,4,90,3,4.5,28180c,"grainy, crude, default",flood_basalt,,,hammer 1
Peridotite,Peridotite,ms,"18, 19, 20",stone,4,3.5,0,180,1,4,90,3,4.5,566250,"grainy, crude, default",stone/peridotite,,,hammer 1
Maple Vine,Maple Vine,blue_skies,"16, 18, 19, 25",fibre,5,1.6,3,180,1,4,84,0,0,d05a54,"crude, default",maple_vine,,,cut 1
Fluffy String,Fluffy String,silentgear,"16, 18, 19, 20",fibre,5,0.6,3,180,1,3,78,0,0,f7f7f7,"crude, default",fluffy_string,,,cut 1
Tin,Tin,ms,"16; 18, 19, 20",metal,4.35,3.2,3,157,1,5,54,3,4.12,dffcff,"shiny, metal, default","gem/tiningot, gem/tin_ingot",,imp workable 1 0,hammer 1
Coprolith,Coprolith,alexscaves,20,stone,3,3.7,0,131,1,2,66,2,3,6d5443,"grainy, crude, default",coprolith,,,hammer 1
Guanostone,Guanostone,alexscaves,20,stone,3,3.7,0,131,1,2,66,2,3,a08365,"grainy, crude, default",guanostone,,,hammer 1
Argillite,Argillite,regions_unexplored,"19, 20",stone,4,3,0,131,1,2,78,3,4,a06140,"grainy, crude, default",argillite,,,hammer 1
Lunar Stone,Lunar Stone,blue_skies,"16, 18, 19, 20",stone,4,3,0,131,1,4,30,3,4,343434,"crude, default",lunar_cobblestone,,,hammer 1
Turquoise Stone,Turquoise Stone,blue_skies,"16, 18, 19, 20",stone,4,3,0,131,1,4,30,3,4,405976,"crude, default",turquoise_cobblestone,,,hammer 1
Dropleaf,Dropleaf,regions_unexplored,"18, 19, 20",fibre,5,1.8,3,131,1,5,120,0,0,577b32,"crude, default",dropleaf,,,cut 2
